date,datatype,station,attributes,value
2023-01-02T00:00:00,PRCP,GHCND:US1CAAL0001,",,N,0700",0
2023-01-02T00:00:00,SNOW,GHCND:US1CAAL0001,",,N,0700",0
2023-01-02T00:00:00,PRCP,GHCND:US1CAAL0003,",,N,0700",0
2023-01-02T00:00:00,SNOW,GHCND:US1CAAL0003,",,N,0700",0
2023-01-02T00:00:00,PRCP,GHCND:US1CAAL0004,",,N,0700",0
2023-01-02T00:00:00,SNOW,GHCND:US1CAAL0004,",,N,0700",0
2023-01-02T00:00:00,PRCP,GHCND:US1CAAL0012,",,N,0700",0
2023-01-02T00:00:00,SNOW,GHCND:US1CAAL0012,",,N,0700",0
2023-01-02T00:00:00,PRCP,GHCND:US1CAAL0025,",,N,0800",0
2023-01-02T00:00:00,SNOW,GHCND:US1CAAL0025,",,N,0800",0
2023-01-02T00:00:00,PRCP,GHCND:US1CAAL0030,",,N,0700",0
2023-01-02T00:00:00,SNOW,GHCND:US1CAAL0030,",,N,0700",0
2023-01-02T00:00:00,PRCP,GHCND:US1CAAL0034,",,N,0800",0
2023-01-02T00:00:00,SNOW,GHCND:US1CAAL0034,",,N,0800",0
2023-01-02T00:00:00,PRCP,GHCND:US1CAAL0039,",,N,0800",3
2023-01-02T00:00:00,PRCP,GHCND:US1CAAL0052,",,N,0700",0
2023-01-02T00:00:00,SNOW,GHCND:US1CAAL0052,",,N,0700",0
2023-01-02T00:00:00,PRCP,GHCND:US1CAAL0060,",,N,0700",0
2023-01-02T00:00:00,SNOW,GHCND:US1CAAL0060,",,N,0700",0
2023-01-02T00:00:00,PRCP,GHCND:US1CACC0001,",,N,0700",0
2023-01-02T00:00:00,SNOW,GHCND:US1CACC0001,",,N,0700",0
2023-01-02T00:00:00,PRCP,GHCND:US1CACC0004,",,N,0800",0
2023-01-02T00:00:00,SNOW,GHCND:US1CACC0004,",,N,0800",0
2023-01-02T00:00:00,PRCP,GHCND:US1CACC0010,",,N,0700",0
2023-01-02T00:00:00,SNOW,GHCND:US1CACC0010,",,N,0700",0
2023-01-02T00:00:00,PRCP,GHCND:US1CACC0018,",,N,0700",0
2023-01-02T00:00:00,SNOW,GHCND:US1CACC0018,",,N,0700",0
2023-01-02T00:00:00,PRCP,GHCND:US1CACC0025,",,N,0700",0
2023-01-02T00:00:00,SNOW,GHCND:US1CACC0025,",,N,0700",0
2023-01-02T00:00:00,PRCP,GHCND:US1CACC0028,",,N,0800",0
2023-01-02T00:00:00,SNOW,GHCND:US1CACC0028,",,N,0800",0
2023-01-02T00:00:00,PRCP,GHCND:US1CACC0031,",,N,0425",0
2023-01-02T00:00:00,SNOW,GHCND:US1CACC0031,",,N,0425",0
2023-01-02T00:00:00,PRCP,GHCND:US1CACC0037,",,N,0530",0
2023-01-02T00:00:00,SNOW,GHCND:US1CACC0037,",,N,0530",0
2023-01-02T00:00:00,PRCP,GHCND:US1CACC0040,",,N,0630",0
2023-01-02T00:00:00,SNOW,GHCND:US1CACC0040,",,N,0630",0
2023-01-02T00:00:00,PRCP,GHCND:US1CACC0045,",,N,0700",0
2023-01-02T00:00:00,SNOW,GHCND:US1CACC0045,",,N,0700",0
2023-01-02T00:00:00,PRCP,GHCND:US1CACC0046,",,N,0700",0
2023-01-02T00:00:00,SNOW,GHCND:US1CACC0046,",,N,0700",0
