mindate    ,maxdate    ,name                                                                                                       ,datacoverage ,id
1994-03-19 ,1996-05-28 ,Average cloudiness midnight to midnight from 30-second ceilometer data                                     ,      1      ,ACMC
1965-01-01 ,2005-12-31 ,Average cloudiness midnight to midnight from manual observations                                           ,      1      ,ACMH
1994-02-01 ,1996-05-28 ,Average cloudiness sunrise to sunset from 30-second ceilometer data                                        ,      1      ,ACSC
1965-01-01 ,2005-12-31 ,Average cloudiness sunrise to sunset from manual observations                                              ,      1      ,ACSH
1991-06-05 ,2024-06-13 ,Base Data                                                                                                  ,      0.95   ,ALL
2010-01-01 ,2010-01-01 ,Long-term averages of annual cooling degree days with base 45F                                             ,      1      ,ANN-CLDD-BASE45
2010-01-01 ,2010-01-01 ,Long-term averages of annual cooling degree days with base 50F                                             ,      1      ,ANN-CLDD-BASE50
2010-01-01 ,2010-01-01 ,Long-term averages of annual cooling degree days with base 55F                                             ,      1      ,ANN-CLDD-BASE55
2010-01-01 ,2010-01-01 ,Long-term averages of annual cooling degree days with base 57F                                             ,      1      ,ANN-CLDD-BASE57
2010-01-01 ,2010-01-01 ,Long-term averages of annual cooling degree days with base 60F                                             ,      1      ,ANN-CLDD-BASE60
2010-01-01 ,2010-01-01 ,Long-term averages of annual cooling degree days with base 70F                                             ,      1      ,ANN-CLDD-BASE70
2010-01-01 ,2010-01-01 ,Long-term averages of annual cooling degree days with base 72F                                             ,      1      ,ANN-CLDD-BASE72
2010-01-01 ,2010-01-01 ,Long-term averages of annual cooling degree days with base 65F                                             ,      1      ,ANN-CLDD-NORMAL
2010-01-01 ,2010-01-01 ,Long-term averages of annual diurnal temperature range                                                     ,      1      ,ANN-DUTR-NORMAL
2010-01-01 ,2010-01-01 ,Long-term averages of annual growing degree days with base 40F                                             ,      1      ,ANN-GRDD-BASE40
2010-01-01 ,2010-01-01 ,Long-term averages of annual growing degree days with base 45F                                             ,      1      ,ANN-GRDD-BASE45
2010-01-01 ,2010-01-01 ,Long-term averages of annual growing degree days with base 50F                                             ,      1      ,ANN-GRDD-BASE50
